Pathway	Ko	Name
ko00010	K00844	Glycolysis / Gluconeogenesis
ko00010	K12407	Glycolysis / Gluconeogenesis
ko00010	K00845	Glycolysis / Gluconeogenesis
ko00010	K25026	Glycolysis / Gluconeogenesis
ko00010	K01810	Glycolysis / Gluconeogenesis
ko00010	K06859	Glycolysis / Gluconeogenesis
ko00010	K13810	Glycolysis / Gluconeogenesis
ko00010	K15916	Glycolysis / Gluconeogenesis
ko00010	K24182	Glycolysis / Gluconeogenesis
ko00010	K00850	Glycolysis / Gluconeogenesis
ko00010	K16370	Glycolysis / Gluconeogenesis
ko00010	K21071	Glycolysis / Gluconeogenesis
ko00010	K00918	Glycolysis / Gluconeogenesis
ko00010	K00895	Glycolysis / Gluconeogenesis
ko00010	K03841	Glycolysis / Gluconeogenesis
ko00010	K02446	Glycolysis / Gluconeogenesis
ko00010	K11532	Glycolysis / Gluconeogenesis
ko00010	K01086	Glycolysis / Gluconeogenesis
ko00010	K04041	Glycolysis / Gluconeogenesis
ko00010	K01623	Glycolysis / Gluconeogenesis
ko00010	K11645	Glycolysis / Gluconeogenesis
ko00010	K01624	Glycolysis / Gluconeogenesis
ko00010	K01622	Glycolysis / Gluconeogenesis
ko00010	K16305	Glycolysis / Gluconeogenesis
ko00010	K16306	Glycolysis / Gluconeogenesis
ko00010	K01803	Glycolysis / Gluconeogenesis
ko00010	K00134	Glycolysis / Gluconeogenesis
ko00010	K10705	Glycolysis / Gluconeogenesis
ko00010	K00150	Glycolysis / Gluconeogenesis
ko00010	K00927	Glycolysis / Gluconeogenesis
ko00010	K01834	Glycolysis / Gluconeogenesis
ko00010	K15634	Glycolysis / Gluconeogenesis
ko00010	K15633	Glycolysis / Gluconeogenesis
ko00010	K15635	Glycolysis / Gluconeogenesis
ko00010	K01689	Glycolysis / Gluconeogenesis
ko00010	K27394	Glycolysis / Gluconeogenesis
ko00010	K00873	Glycolysis / Gluconeogenesis
ko00010	K12406	Glycolysis / Gluconeogenesis
ko00010	K01006	Glycolysis / Gluconeogenesis
ko00010	K01007	Glycolysis / Gluconeogenesis
ko00010	K00163	Glycolysis / Gluconeogenesis
ko00010	K00161	Glycolysis / Gluconeogenesis
ko00010	K00162	Glycolysis / Gluconeogenesis
ko00010	K00627	Glycolysis / Gluconeogenesis
ko00010	K00382	Glycolysis / Gluconeogenesis
ko00010	K13997	Glycolysis / Gluconeogenesis
ko00010	K00169	Glycolysis / Gluconeogenesis
ko00010	K00170	Glycolysis / Gluconeogenesis
ko00010	K00172	Glycolysis / Gluconeogenesis
ko00010	K00189	Glycolysis / Gluconeogenesis
ko00010	K00171	Glycolysis / Gluconeogenesis
ko00010	K03737	Glycolysis / Gluconeogenesis
ko00010	K00174	Glycolysis / Gluconeogenesis
ko00010	K00175	Glycolysis / Gluconeogenesis
ko00010	K00016	Glycolysis / Gluconeogenesis
ko00010	K01568	Glycolysis / Gluconeogenesis
ko00010	K13951	Glycolysis / Gluconeogenesis
ko00010	K13980	Glycolysis / Gluconeogenesis
ko00010	K00121	Glycolysis / Gluconeogenesis
ko00010	K13952	Glycolysis / Gluconeogenesis
ko00010	K04072	Glycolysis / Gluconeogenesis
ko00010	K13953	Glycolysis / Gluconeogenesis
ko00010	K13954	Glycolysis / Gluconeogenesis
ko00010	K18857	Glycolysis / Gluconeogenesis
ko00010	K00001	Glycolysis / Gluconeogenesis
ko00010	K00002	Glycolysis / Gluconeogenesis
ko00010	K12957	Glycolysis / Gluconeogenesis
ko00010	K13979	Glycolysis / Gluconeogenesis
ko00010	K14028	Glycolysis / Gluconeogenesis
ko00010	K14029	Glycolysis / Gluconeogenesis
ko00010	K00114	Glycolysis / Gluconeogenesis
ko00010	K04022	Glycolysis / Gluconeogenesis
ko00010	K22473	Glycolysis / Gluconeogenesis
ko00010	K22474	Glycolysis / Gluconeogenesis
ko00010	K00128	Glycolysis / Gluconeogenesis
ko00010	K14085	Glycolysis / Gluconeogenesis
ko00010	K00149	Glycolysis / Gluconeogenesis
ko00010	K00129	Glycolysis / Gluconeogenesis
ko00010	K00138	Glycolysis / Gluconeogenesis
ko00010	K01895	Glycolysis / Gluconeogenesis
ko00010	K01913	Glycolysis / Gluconeogenesis
ko00010	K01905	Glycolysis / Gluconeogenesis
ko00010	K22224	Glycolysis / Gluconeogenesis
ko00010	K24012	Glycolysis / Gluconeogenesis
ko00010	K01785	Glycolysis / Gluconeogenesis
ko00010	K01085	Glycolysis / Gluconeogenesis
ko00010	K20866	Glycolysis / Gluconeogenesis
ko00010	K01835	Glycolysis / Gluconeogenesis
ko00010	K15778	Glycolysis / Gluconeogenesis
ko00010	K15779	Glycolysis / Gluconeogenesis
ko00010	K01084	Glycolysis / Gluconeogenesis
ko00010	K00886	Glycolysis / Gluconeogenesis
ko00010	K08074	Glycolysis / Gluconeogenesis
ko00010	K01792	Glycolysis / Gluconeogenesis
ko00010	K01837	Glycolysis / Gluconeogenesis
ko00010	K03103	Glycolysis / Gluconeogenesis
ko00010	K11389	Glycolysis / Gluconeogenesis
ko00010	K00131	Glycolysis / Gluconeogenesis
ko00010	K18978	Glycolysis / Gluconeogenesis
ko00010	K01596	Glycolysis / Gluconeogenesis
ko00010	K01610	Glycolysis / Gluconeogenesis
ko00010	K01222	Glycolysis / Gluconeogenesis
ko00010	K01223	Glycolysis / Gluconeogenesis
ko00010	K02777	Glycolysis / Gluconeogenesis
ko00010	K02779	Glycolysis / Gluconeogenesis
ko00010	K02791	Glycolysis / Gluconeogenesis
ko00010	K20118	Glycolysis / Gluconeogenesis
ko00010	K02753	Glycolysis / Gluconeogenesis
ko00020	K01647	Citrate cycle (TCA cycle)
ko00020	K01648	Citrate cycle (TCA cycle)
ko00020	K15230	Citrate cycle (TCA cycle)
ko00020	K15231	Citrate cycle (TCA cycle)
ko00020	K05942	Citrate cycle (TCA cycle)
ko00020	K01659	Citrate cycle (TCA cycle)
