level1	level2	level3	pathway_id	KO	gene	KO_name	EC
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00844	HK	hexokinase	2.7.1.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K12407	GCK	glucokinase	2.7.1.2
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00845	glk	glucokinase	2.7.1.2
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K25026	glk	glucokinase	2.7.1.2
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01810	GPI, pgi	glucose-6-phosphate isomerase	5.3.1.9
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K06859	pgi1	glucose-6-phosphate isomerase, archaeal	5.3.1.9
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K13810	tal-pgi	transaldolase / glucose-6-phosphate isomerase	2.2.1.2 5.3.1.9
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K15916	pgi-pmi	glucose/mannose-6-phosphate isomerase	5.3.1.9 5.3.1.8
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K24182	PFK9	6-phosphofructokinase	2.7.1.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00850	pfkA, PFK	6-phosphofructokinase 1	2.7.1.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K16370	pfkB	6-phosphofructokinase 2	2.7.1.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K21071	pfk, pfp	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase	2.7.1.11 2.7.1.90
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00918	pfkC	ADP-dependent phosphofructokinase/glucokinase	2.7.1.146 2.7.1.147
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00895	pfp, PFP	diphosphate-dependent phosphofructokinase	2.7.1.90
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K03841	FBP, fbp	fructose-1,6-bisphosphatase I	3.1.3.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K02446	glpX	fructose-1,6-bisphosphatase II	3.1.3.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K11532	glpX-SEBP	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase	3.1.3.11 3.1.3.37
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01086	fbp-SEBP	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase	3.1.3.11 3.1.3.37
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K04041	fbp3	fructose-1,6-bisphosphatase III	3.1.3.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01623	ALDO	fructose-bisphosphate aldolase, class I	4.1.2.13
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K11645	fbaB	fructose-bisphosphate aldolase, class I	4.1.2.13
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01624	FBA, fbaA	fructose-bisphosphate aldolase, class II	4.1.2.13
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01622	K01622	fructose 1,6-bisphosphate aldolase/phosphatase	4.1.2.13 3.1.3.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K16305	K16305	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase	4.1.2.13 2.2.1.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K16306	K16306	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase	4.1.2.13 2.2.1.10
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01803	TPI, tpiA	triosephosphate isomerase (TIM)	5.3.1.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	1.2.1.12
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K10705	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating), spermatogenic	1.2.1.12
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00150	gap2, gapB	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating)	1.2.1.59
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00927	PGK, pgk	phosphoglycerate kinase	2.7.2.3
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01834	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	5.4.2.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K15634	gpmB	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	5.4.2.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K15633	gpmI	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	5.4.2.12
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K15635	apgM	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	5.4.2.12
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01689	ENO1_2_3, eno	enolase 1/2/3	4.2.1.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K27394	ENO4	enolase 4	4.2.1.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00873	PK, pyk	pyruvate kinase	2.7.1.40
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K12406	PKLR	pyruvate kinase isozymes R/L	2.7.1.40
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01006	ppdK	pyruvate, orthophosphate dikinase	2.7.9.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01007	pps, ppsA	pyruvate, water dikinase	2.7.9.2
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00163	aceE	pyruvate dehydrogenase E1 component	1.2.4.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00161	PDHA, pdhA	pyruvate dehydrogenase E1 component subunit alpha	1.2.4.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00162	PDHB, pdhB	pyruvate dehydrogenase E1 component subunit beta	1.2.4.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00627	DLAT, aceF, pdhC	pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase)	2.3.1.12
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00382	DLD, lpd, pdhD	dihydrolipoyl dehydrogenase	1.8.1.4
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K13997	PDHX	dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex	NA
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit	1.2.7.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit	1.2.7.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00172	porC, porG	pyruvate ferredoxin oxidoreductase gamma subunit	1.2.7.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00189	vorG, porG	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit	1.2.7.7 1.2.7.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit	1.2.7.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K03737	por, nifJ	pyruvate-ferredoxin/flavodoxin oxidoreductase	1.2.7.1 1.2.7.-
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha	1.2.7.3 1.2.7.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta	1.2.7.3 1.2.7.11
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K00016	LDH, ldh	L-lactate dehydrogenase	1.1.1.27
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K01568	PDC, pdc	pyruvate decarboxylase	4.1.1.1
Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	ko00010	K13951	ADH1_7	alcohol dehydrogenase 1/7	1.1.1.1
